"id" "author" "year" "type" "adjrr" "lb" "ub" "dose" "case" "n" "logrr" "se"
"1" 1 "Engle" 1991 "cc" 1 1 1 0 15 50 0 0
"2" 1 "Engle" 1991 "cc" 0.899999976158142 0.400000005960464 2.20000004768372 0.550000011920929 21 56 -0.10536054214878 0.434892710391241
"3" 1 "Engle" 1991 "cc" 1.29999995231628 0.600000023841858 2.90000009536743 1.14999997615814 35 54 0.262364227787709 0.401929924818757
"4" 1 "Engle" 1991 "cc" 0.899999976158142 0.400000005960464 2 1.79999995231628 16 52 -0.10536054214878 0.410578436702914
"5" 2 "Risch" 1994 "cc" 1 1 1 0 97 232 0 0
"6" 2 "Risch" 1994 "cc" 1.03999996185303 0.709999978542328 1.52999997138977 0.899999976158142 107 250 0.0392206764734992 0.195860245884535
"7" 2 "Risch" 1994 "cc" 0.860000014305115 0.579999983310699 1.27999997138977 1.60000002384186 102 243 -0.150822873100729 0.201939236139044
"8" 2 "Risch" 1994 "cc" 1.07000005245209 0.720000028610229 1.5900000333786 2.40000009536743 143 284 0.067658697494456 0.202105260787864
"9" 3 "Webb" 1998 "cc" 1 1 1 0 128 292 0 0
"10" 3 "Webb" 1998 "cc" 1.00999999046326 0.709999978542328 1.42999994754791 1.10000002384186 133 297 0.00995032141084807 0.178616737930823
"11" 3 "Webb" 1998 "cc" 1.05999994277954 0.740000009536743 1.50999999046326 1.60000002384186 134 296 0.0582688541424092 0.181945875034768
"12" 3 "Webb" 1998 "cc" 1.39999997615814 0.980000019073486 2 2.40000009536743 177 328 0.336472219591314 0.181980351180312
"13" 3 "Webb" 1998 "cc" 0.970000028610229 0.670000016689301 1.4099999666214 3.79999995231628 149 317 -0.030459177989627 0.189816554863798
"14" 4 "Goodman" 2002 "cc" 1 1 1 0 140 292 0 0
"15" 4 "Goodman" 2002 "cc" 0.550000011920929 0.550000011920929 1.0900000333786 0.600000023841858 140 292 -0.597836979081204 0.174496753853705
"16" 4 "Goodman" 2002 "cc" 0.670000016689301 0.469999998807907 0.949999988079071 1.20000004768372 140 292 -0.400477541687722 0.179526074312954
"17" 4 "Goodman" 2002 "cc" 0.610000014305115 0.419999986886978 0.889999985694885 1.89999997615814 140 292 -0.494296298363773 0.191576675010516
"18" 5 "Salazar" 2002 "cc" 1 1 1 0 35 243 0 0
"19" 5 "Salazar" 2002 "cc" 0.769999980926514 0.439999997615814 1.37000000476837 2.79999995231628 28 241 -0.261364788905169 0.289748002965363
"20" 5 "Salazar" 2002 "cc" 0.540000021457672 0.28999999165535 0.990000009536743 3.70000004768372 21 229 -0.616186099687388 0.313226178705519
"21" 6 "Cozen" 2002 "cc" 1 1 1 0 78 183 0 0
"22" 6 "Cozen" 2002 "cc" 0.899999976158142 0.578999996185303 1.39900004863739 0.75 57 150 -0.10536054214878 0.225057844278134
"23" 6 "Cozen" 2002 "cc" 0.939999997615814 0.629000008106232 1.40600001811981 1.5 83 212 -0.0618754062544553 0.205200917469647
"24" 6 "Cozen" 2002 "cc" 1.00100004673004 0.656000018119812 1.52300000190735 2.5 72 173 0.000999547016440589 0.214870411963062
"25" 7 "Kushi" 1999 "ir" 1 1 1 0.5 29 67800 0 0
"26" 7 "Kushi" 1999 "ir" 1.37999999523163 0.800000011920929 2.39000010490417 1.0699999332428 36 67800 0.322083495713772 0.279198228865991
"27" 7 "Kushi" 1999 "ir" 1.25 0.720000028610229 2.1800000667572 1.95000004768372 34 67800 0.22314355131421 0.282614615216807
"28" 7 "Kushi" 1999 "ir" 1.60000002384186 0.949999988079071 2.70000004768372 3.08999991416931 40 67800 0.470003644146897 0.266470482581837
"29" 8 "Fairfield" 2004 "ir" 1 1 1 0.319999992847443 51 228537 0 0
"30" 8 "Fairfield" 2004 "ir" 1.36000001430511 0.939999997615814 1.96000003814697 0.699999988079071 66 228537 0.307484710266427 0.187457500432607
"31" 8 "Fairfield" 2004 "ir" 0.930000007152557 0.620000004768372 1.38999998569489 1.11000001430511 46 228537 -0.0725706851439136 0.205957746282947
"32" 8 "Fairfield" 2004 "ir" 1.29999995231628 0.899999976158142 1.87999999523163 1.61000001430511 65 228537 0.262364227787709 0.187919860330274
"33" 8 "Fairfield" 2004 "ir" 1.39999997615814 0.980000019073486 2.00999999046326 2.59999990463257 73 228537 0.336472219591314 0.183252705367871
"34" 9 "Larsson" 2005 "ir" 1 1 1 0.590000033378601 54 227238 0 0
"35" 9 "Larsson" 2005 "ir" 1.29999995231628 0.899999976158142 1.87999999523163 1.25999999046326 68 219977 0.262364227787709 0.187919860330274
"36" 9 "Larsson" 2005 "ir" 1.23000001907349 0.860000014305115 1.75999999046326 1.81000006198883 74 222101 0.207014184891225 0.182691284733031
"37" 9 "Larsson" 2005 "ir" 1.48000001907349 1.04999995231628 2.08999991416931 2.76999998092651 92 225412 0.392042100663514 0.175608815157534
