"id" "author" "study" "rr" "lb" "ub" "dose" "case" "n" "logrr" "se" "nordic"
"1" 1 "Grobbee" "ir" 1 1 1 0 8 80 0 0 0
"2" 1 "Grobbee" "ir" 0.58 0.25 1.36 0.5 23 108 -0.5447272 0.43209444 0
"3" 1 "Grobbee" "ir" 0.68 0.36 1.31 2.5 18 70 -0.38566247 0.32951583 0
"4" 1 "Grobbee" "ir" 0.48 0.18 1.31 4.5 5 45 -0.7339692 0.50634234 0
"5" 2 "Bidel" "ir" 1 1 1 1 35 11772 0 0 1
"6" 2 "Bidel" "ir" 0.79 0.51 1.22 3.5 54 20551 -0.23572231 0.22250293 1
"7" 2 "Bidel" "ir" 0.66 0.43 1.03 5.5 69 29927 -0.4155154 0.22284308 1
"8" 2 "Bidel" "ir" 0.94 0.58 1.52 7.5 52 17406 -0.06187541 0.2457794 1
"9" 3 "Silletta" "ir" 1 1 1 0 29 5487 0 0 0
"10" 3 "Silletta" "ir" 1.2 0.78 1.85 1 89 17431 0.1823216 0.22032217 0
"11" 3 "Silletta" "ir" 1.06 0.64 1.74 3 51 14959 0.05826885 0.25515067 0
"12" 4 "Larsson" "ci" 1 1 1 0.7 267 2070 0 0 1
"13" 4 "Larsson" "ci" 0.91 0.79 1.06 2.7 503 3984 -0.09431065 0.07499912 1
"14" 4 "Larsson" "ci" 0.88 0.77 1.02 4.6 847 7016 -0.12783338 0.07172769 1
"15" 4 "Larsson" "ci" 0.77 0.66 0.9 6.3 545 5221 -0.26136479 0.07912259 1
"16" 4 "Larsson" "ci" 0.77 0.66 0.9 9.8 540 5563 -0.26136479 0.07912259 1
"17" 5 "Larsson" "ci" 1 1 1 0.7 41 2296 0 0 0
"18" 5 "Larsson" "ci" 0.8 0.54 1.2 2.7 64 4423 -0.22314354 0.20370469 0
"19" 5 "Larsson" "ci" 0.92 0.64 1.32 4.6 124 7739 -0.08338159 0.18467658 0
"20" 5 "Larsson" "ci" 0.66 0.44 1 6.3 63 5703 -0.4155154 0.20943766 0
"21" 5 "Larsson" "ci" 0.98 0.66 1.47 9.8 91 6012 -0.02020269 0.20428381 0
"22" 6 "Larsson" "ci" 1 1 1 0.7 14 2323 0 0 0
"23" 6 "Larsson" "ci" 0.91 0.47 1.76 2.7 26 4461 -0.09431065 0.3368267 0
"24" 6 "Larsson" "ci" 1.24 0.68 2.25 4.6 84 7779 0.21511139 0.30525885 0
"25" 6 "Larsson" "ci" 1.1 0.59 2.07 6.3 43 5723 0.0953102 0.32020521 0
"26" 6 "Larsson" "ci" 1.18 0.63 2.2 9.8 49 6054 0.16551439 0.31900914 0
"27" 7 "Lopez-Garcia" "ir" 1 1 1 0 329 303293 0 0 0
"28" 7 "Lopez-Garcia" "ir" 0.98 0.84 1.15 0.32 335 236388 -0.02020269 0.08013294 0
"29" 7 "Lopez-Garcia" "ir" 0.88 0.77 0.81 1.48 802 586501 -0.12783338 0.01291956 0
"30" 7 "Lopez-Garcia" "ir" 0.81 0.7 0.95 2.95 593 541298 -0.21072103 0.07790491 0
"31" 7 "Lopez-Garcia" "ir" 0.8 0.64 0.98 4.88 221 222706 -0.22314354 0.10869701 0
"32" 8 "Mukamal" "ci" 1 1 1 0.5 24 168 0 0 1
"33" 8 "Mukamal" "ci" 1.08 0.57 2.02 2 34 281 0.07696108 0.32276522 1
"34" 8 "Mukamal" "ci" 0.94 0.49 1.78 4 37 368 -0.06187541 0.3290783 1
"35" 8 "Mukamal" "ci" 1.17 0.59 2.29 6 29 255 0.15700371 0.34597181 1
"36" 8 "Mukamal" "ci" 0.74 0.31 1.75 8 11 162 -0.30110508 0.44153841 1
"37" 9 "Sugiyama" "ir" 1 1 1 0 21 31959 0 0 0
"38" 9 "Sugiyama" "ir" 1.51 0.89 2.57 0.5 535 65962 0.41210964 0.2705253 0
"39" 9 "Sugiyama" "ir" 1.06 0.6 1.87 1.5 44 90235 0.05826885 0.28999615 0
"40" 10 "Sugiyama" "ir" 1 1 1 0 21 37138 0 0 0
"41" 10 "Sugiyama" "ir" 0.88 0.47 1.62 0.5 28 77154 -0.12783338 0.3156815 0
"42" 10 "Sugiyama" "ir" 0.91 0.46 1.81 1.5 24 88480 -0.09431065 0.34945938 0
"43" 11 "Leurs" "ir" 1 1 1 1 74 2609 0 0 0
"44" 11 "Leurs" "ir" 0.84 0.6 1.18 3 164 6441 -0.17435342 0.17253888 0
"45" 11 "Leurs" "ir" 0.72 0.5 1.04 4.5 110 5553 -0.32850403 0.18683197 0
"46" 11 "Leurs" "ir" 1.15 0.74 1.77 7.5 69 2372 0.13976192 0.22247465 0
"47" 12 "Leurs" "ir" 1 1 1 1 77 4087 0 0 0
"48" 12 "Leurs" "ir" 0.79 0.57 1.09 3 126 9640 -0.23572231 0.16538484 0
"49" 12 "Leurs" "ir" 0.7 0.48 1.02 4.5 60 5197 -0.35667496 0.19229226 0
"50" 12 "Leurs" "ir" 1.1 0.63 1.9 7.5 28 1397 0.0953102 0.2816096 0
"51" 13 "de Koning Gans" "ir" 1 1 1 0.5 94 75445 0 0 0
"52" 13 "de Koning Gans" "ir" 1.13 0.84 1.53 1.5 79 50896 0.12221763 0.15296739 0
"53" 13 "de Koning Gans" "ir" 1.16 0.86 1.57 2.5 83 51687 0.14841998 0.15354836 0
"54" 13 "de Koning Gans" "ir" 1.06 0.8 1.41 3.5 108 66336 0.05826885 0.14457746 0
"55" 13 "de Koning Gans" "ir" 1.15 0.88 1.5 5 154 91701 0.13976192 0.13604803 0
"56" 13 "de Koning Gans" "ir" 1.21 0.87 1.67 7 80 47283 0.19062039 0.16635144 0
"57" 14 "Mineharu" "ir" 1 1 1 0 384 145683 0 0 0
"58" 14 "Mineharu" "ir" 0.78 0.5 1.2 0.7 194 116260 -0.2484614 0.22333798 0
"59" 14 "Mineharu" "ir" 0.67 0.47 0.96 1.5 127 102867 -0.40047754 0.18219737 0
"60" 14 "Mineharu" "ir" 0.45 0.17 0.87 3.5 17 39378 -0.79850772 0.41651142 0
"61" 15 "Mineharu" "ir" 1 1 1 0 374 239297 0 0 0
"62" 15 "Mineharu" "ir" 0.87 0.53 1.44 0.7 122 164307 -0.13926206 0.25498465 0
"63" 15 "Mineharu" "ir" 0.68 0.41 1.03 1.5 124 166699 -0.38566247 0.23499332 0
"64" 15 "Mineharu" "ir" 3.17 1.5 6.69 3.5 20 36295 1.1537316 0.38142251 0
"65" 16 "Larsson" "ir" 1 1 1 0.2 205 33807 0 0 1
"66" 16 "Larsson" "ir" 0.78 0.66 0.91 1.8 653 132857 -0.2484614 0.08194149 1
"67" 16 "Larsson" "ir" 0.75 0.64 0.88 3.5 607 135678 -0.28768207 0.08123969 1
"68" 16 "Larsson" "ir" 0.77 0.63 0.92 6.1 215 56671 -0.26136479 0.09659715 1
